ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
187,11.38844889,55.32294361,29,1,2,3.401197382,0.693147181,1.098612289,3.367299278,1.00E-04,0.693197179,651540.513,6133327.372,4
188,11.38844083,55.32279333,33,1,0,3.526360525,0.693147181,0,3.496510592,1.00E-04,-9.210340372,651540.5755,6133310.636,1
189,11.38844361,55.32283444,18,0,3,2.944438979,0,1.386294361,2.890377313,-9.210340372,1.098645621,651540.5948,6133315.216,7
190,11.38845,55.32287778,14,0,0,2.708050201,0,0,2.639064472,-9.210340372,-9.210340372,651540.8347,6133320.051,3
191,11.38845194,55.32290194,38,1,7,3.663561646,0.693147181,2.079441542,3.637588791,1.00E-04,1.945924435,651540.8658,6133322.743,2
192,11.38844667,55.32277583,22,0,1,3.135494216,0,0.693147181,3.091046999,-9.210340372,1.00E-04,651541.0123,6133308.702,2
193,11.38846611,55.32308694,53,0,3,3.988984047,0,1.386294361,3.9702938,-9.210340372,1.098645621,651541.0585,6133343.356,3
194,11.38845,55.32281528,45,4,3,3.828641396,1.609437912,1.386294361,3.806664712,1.386319361,1.098645621,651541.0732,6133313.098,7
195,11.38847639,55.32310528,12,0,0,2.564949357,0,0,2.484914983,-9.210340372,-9.210340372,651541.6405,6133345.418,3
196,11.3884675,55.32285972,21,2,2,3.091042453,1.098612289,1.098612289,3.0445272,0.693197179,0.693197179,651542.0137,6133318.08,5
197,11.38847583,55.32291972,50,3,5,3.931825633,1.386294361,1.791759469,3.912025005,1.098645621,1.609457912,651542.3134,6133324.773,1
198,11.38847528,55.32279333,46,0,2,3.850147602,0,1.098612289,3.82864357,-9.210340372,0.693197179,651542.7605,6133310.711,6
199,11.38847889,55.32283444,37,0,1,3.63758616,0,0.693147181,3.610920615,-9.210340372,1.00E-04,651542.8326,6133315.293,1
200,11.38852111,55.32298778,15,1,0,2.772588722,0.693147181,0,2.708056868,1.00E-04,-9.210340372,651544.9258,6133332.443,6
201,11.38853639,55.32308667,48,2,4,3.891820298,1.098612289,1.609437912,3.871203094,0.693197179,1.386319361,651545.5176,6133343.478,6
202,11.38854333,55.32310611,15,1,0,2.772588722,0.693147181,0,2.708056868,1.00E-04,-9.210340372,651545.8839,6133345.656,10
203,11.38854222,55.32297639,17,1,0,2.890371758,0.693147181,0,2.833219226,1.00E-04,-9.210340372,651546.3085,6133331.222,7
204,11.38853722,55.32285972,14,2,3,2.708050201,1.098612289,1.386294361,2.639064472,0.693197179,1.098645621,651546.4365,6133318.232,6
205,11.38854611,55.32292,52,1,2,3.970291914,0.693147181,1.098612289,3.951245642,1.00E-04,0.693197179,651546.7703,6133324.957,2
206,11.38855611,55.3230575,54,0,10,4.007333185,0,2.397895273,3.988985898,-9.210340372,2.302595093,651546.88,6133340.276,8
207,11.38855611,55.32298778,19,1,0,2.995732274,0.693147181,0,2.944444242,1.00E-04,-9.210340372,651547.146,6133332.519,2
208,11.38855389,55.32294444,42,7,2,3.761200116,2.079441542,1.098612289,3.737671999,1.945924435,0.693197179,651547.1704,6133327.693,9
209,11.38854833,55.32283444,24,1,2,3.218875825,0.693147181,1.098612289,3.178057997,1.00E-04,0.693197179,651547.2378,6133315.444,9
210,11.38854583,55.3227925,68,0,0,4.234106505,0,0,4.219509176,-9.210340372,-9.210340372,651547.2393,6133310.772,7
211,11.38855444,55.3228775,22,0,1,3.135494216,0,0.693147181,3.091046999,-9.210340372,1.00E-04,651547.4612,6133320.247,7
212,11.38855611,55.32290194,37,2,6,3.63758616,1.098612289,1.945910149,3.610920615,0.693197179,1.791776136,651547.4736,6133322.97,8
213,11.38854861,55.32277389,16,1,0,2.833213344,0.693147181,0,2.772594972,1.00E-04,-9.210340372,651547.4865,6133308.708,10
214,11.388555,55.32281583,18,1,2,2.944438979,0.693147181,1.098612289,2.890377313,1.00E-04,0.693197179,651547.7317,6133313.388,4
215,11.38857139,55.32308667,33,0,2,3.526360525,0,1.098612289,3.496510592,-9.210340372,0.693197179,651547.7378,6133343.554,4
216,11.38857944,55.32310639,20,2,0,3.044522438,1.098612289,0,2.995737274,0.693197179,-9.210340372,651548.1735,6133345.766,3
217,11.38857722,55.32297667,22,2,4,3.135494216,1.098612289,1.609437912,3.091046999,0.693197179,1.386319361,651548.5276,6133331.329,4
218,11.38857194,55.32285972,25,1,2,3.258096538,0.693147181,1.098612289,3.218879825,1.00E-04,0.693197179,651548.6391,6133318.307,5
219,11.38858083,55.32292028,78,2,5,4.369447852,1.098612289,1.791759469,4.356710109,0.693197179,1.609457912,651548.9719,6133325.064,1
220,11.38859139,55.3230575,51,3,5,3.951243719,1.386294361,1.791759469,3.931827594,1.098645621,1.609457912,651549.1178,6133340.353,9
221,11.38859111,55.32298778,14,0,0,2.708050201,0,0,2.639064472,-9.210340372,-9.210340372,651549.3662,6133332.595,9
222,11.38858889,55.32294444,35,1,0,3.583518938,0.693147181,0,3.555350919,1.00E-04,-9.210340372,651549.3906,6133327.77,9
223,11.38858361,55.32283444,21,3,5,3.091042453,1.386294361,1.791759469,3.0445272,1.098645621,1.609457912,651549.4756,6133315.521,7
224,11.38858111,55.32279278,64,2,5,4.17438727,1.098612289,1.791759469,4.158884646,0.693197179,1.609457912,651549.4761,6133310.88,10
225,11.38858222,55.32277417,17,1,2,2.890371758,0.693147181,1.098612289,2.833219226,1.00E-04,0.693197179,651549.6176,6133308.812,1
226,11.38858889,55.3228775,13,2,0,2.63905733,1.098612289,0,2.56495705,0.693197179,-9.210340372,651549.6461,6133320.322,8
227,11.38859083,55.32290194,47,3,5,3.871201011,1.386294361,1.791759469,3.850149729,1.098645621,1.609457912,651549.6762,6133323.046,8
228,11.38858944,55.32281583,21,4,8,3.091042453,1.609437912,2.197224577,3.0445272,1.386319361,2.079454042,651549.9167,6133313.463,6
229,11.38860639,55.32308667,70,3,0,4.262679877,1.386294361,0,4.248496671,1.098645621,-9.210340372,651549.958,6133343.63,10
230,11.388615,55.32310639,16,3,0,2.833213344,1.386294361,0,2.772594972,1.098645621,-9.210340372,651550.4289,6133345.843,6
231,11.38861222,55.32297667,38,3,0,3.663561646,1.386294361,0,3.637588791,1.098645621,-9.210340372,651550.7478,6133331.405,6
